date_yyyyddmm,miles_traveled,spending_bridge,spending_pavement,spending_total,construction_costindex,diesel_price,gas_price,personal_transport_cost,autosales_millions
1994-01-01,,258000000.0,1143000000.0,6930000000.0,,,0.998,,8985000.0
1994-02-01,,204000000.0,1025000000.0,6697000000.0,,,1.0090000000000001,,9171000.0
1994-03-01,,280000000.0,1324000000.0,7427000000.0,,,1.008,,9120000.0
1994-04-01,,403000000.0,1703000000.0,8141000000.0,,1.107,1.0270000000000001,,9478000.0
1994-05-01,,565000000.0,2458000000.0,9565000000.0,,1.1,1.047,,8595000.0
1994-06-01,,733000000.0,2966000000.0,11028000000.0,,1.103,1.078,,8788000.0
1994-07-01,,601000000.0,3618000000.0,11670000000.0,,1.11,1.1059999999999999,,8668000.0
1994-08-01,,708000000.0,3896000000.0,12546000000.0,,1.123,1.155,,8926000.0
1994-09-01,,625000000.0,3650000000.0,11920000000.0,,1.125,1.1440000000000001,,8879000.0
1994-10-01,,682000000.0,3412000000.0,11659000000.0,,1.122,1.114,,9100000.0
1994-11-01,,490000000.0,2511000000.0,9910000000.0,,1.131,1.1159999999999999,,9127000.0
1994-12-01,,361000000.0,1702000000.0,8488000000.0,,1.113,1.091,,9049000.0
1995-01-01,,244000000.0,1202000000.0,7243000000.0,,1.0979999999999999,1.082,,8412000.0
1995-02-01,,277000000.0,1008000000.0,7066000000.0,,1.088,1.073,,8444000.0
1995-03-01,,368000000.0,1325000000.0,7917000000.0,,1.088,1.072,,8707000.0
1995-04-01,,426000000.0,1760000000.0,9096000000.0,,1.104,1.111,,8151000.0
1995-05-01,,517000000.0,2664000000.0,10523000000.0,,1.126,1.178,,8509000.0
1995-06-01,,606000000.0,3116000000.0,11868000000.0,,1.12,1.192,,8818000.0
1995-07-01,,772000000.0,3270000000.0,11870000000.0,,1.1,1.1540000000000001,,8371000.0
1995-08-01,,851000000.0,3915000000.0,13357000000.0,,1.105,1.123,,8991000.0
1995-09-01,,748000000.0,3636000000.0,12650000000.0,,1.119,1.111,,8825000.0
1995-10-01,,874000000.0,3590000000.0,12862000000.0,,1.115,1.087,,8497000.0
1995-11-01,,616000000.0,2632000000.0,10927000000.0,,1.12,1.062,,8705000.0
1995-12-01,,488000000.0,1765000000.0,8881000000.0,,1.13,1.071,,9009000.0
1996-01-01,,333000000.0,1351000000.0,8089000000.0,,1.145,1.09,,8045000.0
1996-02-01,,316000000.0,1334000000.0,7526000000.0,,1.145,1.089,,8617000.0
1996-03-01,,397000000.0,1385000000.0,8243000000.0,,1.183,1.137,,9028000.0
1996-04-01,,476000000.0,2019000000.0,9839000000.0,,1.275,1.2309999999999999,,8648000.0
1996-05-01,,571000000.0,2827000000.0,11455000000.0,,1.273,1.2790000000000001,,9055000.0
1996-06-01,,677000000.0,3112000000.0,11901000000.0,,1.2009999999999998,1.256,,8487000.0
1996-07-01,,702000000.0,3702000000.0,12876000000.0,,1.176,1.227,,8314000.0
1996-08-01,,754000000.0,3699000000.0,13430000000.0,,1.2009999999999998,1.207,,8474000.0
1996-09-01,,756000000.0,3780000000.0,13401000000.0,,1.265,1.202,,8557000.0
1996-10-01,,788000000.0,3726000000.0,13486000000.0,,1.3230000000000002,1.204,,8074999.999999999
1996-11-01,,613000000.0,2608000000.0,11617000000.0,,1.3230000000000002,1.232,,8286000.0
1996-12-01,,501000000.0,1790000000.0,9487000000.0,,1.3090000000000002,1.235,,8157000.0
1997-01-01,,353000000.0,1245000000.0,8196000000.0,,1.291,1.236,,8660000.0
1997-02-01,,357000000.0,1348000000.0,8400000000.0,,1.28,1.23,,8275000.0
1997-03-01,,388000000.0,1680000000.0,9371000000.0,,1.229,1.205,,8433000.0
1997-04-01,,573000000.0,2253000000.0,10473000000.0,,1.212,1.199,,8015000.000000001
1997-05-01,,678000000.0,2793000000.0,11701000000.0,,1.196,1.2,,7975000.0
1997-06-01,,793000000.0,3436000000.0,13124000000.0,,1.173,1.198,,7771000.0
1997-07-01,,797000000.0,3819000000.0,13932000000.0,,1.151,1.1740000000000002,,8346999.999999999
1997-08-01,,827000000.0,4274000000.0,14685000000.0,,1.165,1.224,,8559000.0
1997-09-01,,796000000.0,3932000000.0,14022000000.0,,1.16,1.2309999999999999,,7928000.0
1997-10-01,,761000000.0,3813000000.0,13930000000.0,,1.183,1.197,,8029000.0
1997-11-01,,643000000.0,2923000000.0,11596000000.0,,1.192,1.171,,8004000.0
1997-12-01,,583000000.0,1942000000.0,9921000000.0,,1.166,1.131,,8620000.0
1998-01-01,,412000000.0,1330000000.0,8500000000.0,,1.12,1.0859999999999999,,7453000.0
1998-02-01,,390000000.0,1346000000.0,8229000000.0,,1.084,1.0490000000000002,,7859000.0
1998-03-01,,450000000.0,1608000000.0,8970000000.0,,1.063,1.0170000000000001,,7923000.0
1998-04-01,,550000000.0,2244000000.0,10424000000.0,,1.067,1.03,,8099000.0
1998-05-01,,557000000.0,2608000000.0,11161000000.0,,1.069,1.064,,8579000.0
1998-06-01,,711000000.0,3596000000.0,13475000000.0,,1.041,1.064,,8396000.0
1998-07-01,,654000000.0,3704000000.0,13967000000.0,,1.0290000000000001,1.055,,7284000.0
1998-08-01,,769000000.0,4246000000.0,14660000000.0,,1.0070000000000001,1.026,,7553000.0
1998-09-01,,823000000.0,4215000000.0,14579000000.0,,1.024,1.0090000000000001,,8298999.999999999
1998-10-01,,765000000.0,4062000000.0,14048000000.0,,1.0390000000000001,1.0190000000000001,,8711000.0
1998-11-01,,699000000.0,2727000000.0,11976000000.0,,1.022,0.995,,7912000.0
1998-12-01,,565000000.0,1959000000.0,10471000000.0,,0.973,0.945,,8953000.0
1999-01-01,,447000000.0,1507000000.0,9174000000.0,,0.9670000000000001,0.9390000000000001,,8064000.0
1999-02-01,,409000000.0,1711000000.0,9362000000.0,,0.9590000000000001,0.9209999999999999,,8520000.0
1999-03-01,,471000000.0,2081000000.0,10366000000.0,,0.997,0.982,,8395000.0
1999-04-01,,628000000.0,2633000000.0,11745000000.0,,1.079,1.131,,8503000.0
1999-05-01,,663000000.0,3319000000.0,12771000000.0,,1.073,1.131,,8761000.0
1999-06-01,,797000000.0,3767000000.0,14305000000.0,,1.074,1.114,,8636000.0
